Ulasan
Tidak sesuai
kancing nya agak keras
Enak nyaman dipakainya
"suka bagian leher nya, ngepress"
ukurannya ga sesuai nih gais. kalian yg mau beli ukurannya naikin 1 ukuran yaa
sipp
"type bahan panas, jahitan nggak rapi"
"cutting cucok, bahan bagus, ukurannya tepat.. seller jg fast response dan informatif. overall menyalaahh terang menyinari jiwa yg gelap. sukses terus"
Hitamnya pucet saya kira hitam pekat
mantap
keren bet baju nyaa kain nya haluss mantap
mantap
Ukurannya pas bgussesss pokokknyaaaa
bagus
bahan bagus jahitan rapih. bagus
bagus
"yang dikirim kemeja colarless, tapi ya sudah lah gpp"
"kualitas baik, harga murah"
bahan nya bener-bener biasa aja overpriced parah tapi buat product lain nya oke ko
"oke, pengiriman lama, itu pertama, jd saya tidak bisa langsung review, saat dibuka saya pesannya warna apa dan model apa, yang datang model apa.., sy masih setuju ganti rating jika di respon seller dan mau tukar warna."
"untuk harga segini sayang banget kalo beli banyak dipackingnya seperti ini, padahal biasanya saya beli yang lebih murah saja dipackingnya 1 per, Cuma minus di packingnya aja sih"
Barang tidak sesuai difoto
"bahan bagus, pengiriman cepat"
Baru dicuci sudah luntur
kurang puas
"bagus, sesuai dengan harganya"
pengiriman terlalu lama. bayar tgl 9. tgl 11 baru dikirim sampe tgl sekarang. sampe harus pake pusat resolusi. no recommended
barang harus diakui bagus. capitnya ngegigit kokoh.
"1. C/O hari kamis tgl 22 siang, baru didrop di gerai SiCepat tgl 27 malam. Harapannya c/o hari kamis biar bisa dipake hari senin, apalagi cuma intra-Jakarta biar gak lama di kurir, eh malah tokonya lama. Sangat mengecewakan. SOP nya bgmn?? 2. Material celana lumayan bagus. Cuma di ujung leg opening ada lipatan 7cm, jadi kayak celana biasa tapi ditekuk 7cm. Terlihat gak rapi krn jadi keliatan tebal di ujung krn ada tekukan ke dalam. Potong aja sesuai size chart kan lebih fair. Duh."
"RAD! makasih min barangnya sudah sampai dengan cepat, dikasih sisir juga"
pesan warna biru dikirim warna coklat
Oke banget. Pembelian yg kedua kalinya
Mohon diperhatikan lagi hasil jahitannya.
"Sebetulnya kualitas bahan dan sablonan bagus, sayangnya keterangan size di keterangan produk dan aslinya tidak sesuai. Pilih size S krn berdasarkan ket produk, size S lebar dada 47 cm. Tp nyatanya hanya 42 cm. Jd agak kekecilan. Mau urus tukar brg sdh malas dgn prosesnya."
kualitas barang ok
Ukurannya pas
keren bagus sesuai keinginan
Oke datang sesuai pesanan
"Ukurannya terlalu kecil. Intinya normal size + 0,5 diatasnya. Saya biasa 16 (L) dengan brand ini jadinya 16,5 (XL) karena size L di brand ini kemungkinan equal dengan M di size normal. Bahan juga sangat tipis tidak easy iron"
"Barang sampai dengan selamat, ukuran pas bahan nya bagus, terimakasih seller"
Barang bagus dan pengiriman cepat sekali
Barangnya agak lecek jd ga bs lgsg dipakai
"pengiriman tidak sesuai dengan janji seller sangat lama, dan kualitas barang tidak sesuai dengan harga, pesan ukuran L seperti ukuran S"
barang yang dikirimkan salah item dan sedang dalam proses retur.
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan > 80 kg
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan < 60 kg
"Pengemasannya cuma pake plastik bag screamous doang kaya klo belanja langsung ke sana. Semoga kedepannya packing lebih diperhatikan lg buat jaga kulitas produknya, apalagi pengiriman pke ekspedisi yg pasti ketumpuk tumpuk sama paket lain"
"Barang sesuai deskripsi, karabiner kuat, webbing sangat kokoh. Overall very good product!"
tjakep Ukurannya pas
"ukuran pas, lentur. enak dipakai, pengiriman juga cepat"
"umm bahannya enak tapi kayak sedikit nembus gitu kalo dipake diluar siang siang, tinggi badan 161cm pas segini ga perlu didukung atau dilipet"
kancing paling bawahnya copot
"jahitannya kurang tapi, kedepannya bisa lebih dirapikan lagi"
"jatohnya biru biasa sih engga navy, kainnya tipis bgt ngga kek pembelian sebelumnya dgn produk yg sama"
Baguuuus banget bajunya terima kasih seller dan toped promo cashbacknya yaaa
"barang dikirim secara terpaksa oleh penjual baru dikabari setelah 4 hari kerja, kalau memang warna barang yg di display habis tapi di keterangan tersedia seharusnya lebih baik dicancel saja oleh penjual. Jadinya barang dipaksakan dikirim padahal warna tidak sesuai dengan yang diinginkan atau di display."
"barangnya sih bagus, disuruh request jangan via chat (padahal cuma nanya). Tapi giliran udah tulis di note malah ga di baca. Hadeh *sabuk atas* sebagai contoh *sabuk bawah* yg diterima"
ukuran XL nya masih terlalu ngepass cenderung kecil dan bahannya biasa banget
Ukurannya pas
Jahitan label di kiri bawah kurang rapi
"Ukurannya pas, bahan bagus, sampai dengan aman"
barang bagusss
Sudah sampai barangnya dan cepat
Ukurannya pas
"Beli pertama disini dapet kain bagus, yg warna biru. Akhirnya repeat yg warna hitam. Pas sampe kainnya kok beda. Akhirnya minta tuker yg warna biru. Kirainnya bakal dapet kek kain yg pertama. Ternyata beda banget. Kecewa sih"
kualitas ngga sebagus yg pernah saya beli dgn harga yg sama.
barang tidak sampai2 respon chat saya pesenya instan udah mau seminggu ga di kirim2
sangat bagus
bahan panas dan gampang kusut
tidak sesuai pesanan
"bahan oke,adem,warna oke"
"dasi dikirim begitu saja tapi ad kotak kosong dikirim bersamaan dengan dasi, ga tau maksudnya apa, gepeng lagi kotaknya"
biasa aja
Bahan nyaman fittingnya pas pelayananya juga cepet!
Ukurannya pas
Overpriced
kerennn
maaf ya min menurut saya warna kuningnya kurang menarik
ukuran dan bentuk yang kurang kalau bahan bagus
"Ukuran pas , kualitas oke "
sesuai pesanan dan bagus
Tidak sesuai dengan Chart Size. Ukuran bajunya sangat besar sekali. Produk biasa saja dengan kain cendrung berbulu
ukuran tidak konsisten
Ukuran tidak cocok
"design dan kualitas ok.Thanks seller,dapat bonus sisir juga Ukurannya pas"
tidak terlihat sebanding dengan harganya
barang kualitas bagus
Alhamdullilah barang sesuai pesanan dan pengiriman. thanks sesuai harga terimakasih
Ukurannya pas Tinggi badan 160 - 170 cm
kecee pass dan bkn ganteng Ukurannya pas
murah tapi emang murahan
"bahanya agak tipis, gk kaya yg lama"
tipis
produk baik
"Soal kualitas, brand ini gak perlu diragukan lagi. Bahannya tebal, nyaman dan gak bikin gerah. Barang yang dikirim pun sesuai dengan gambar dan pesanan."
"Edit ulasan, baru dipake 2x, jahitan sudah ada yang robek, resleting rusak. Kaya produk ga lolos QC"
warnanya agak pudar
Warna hitamnya agak pudar
lama!
"bahan memang chinos tp terasa agak panas, beda dgn chino branded yg saya punya. cutnya agak aneh menurut saya dibagian angkle membesar lagi jadi kyk cut bray gtu modelnya. ukurannya berbeda dengan celana satunya dengan size yg sama 40. yg ini lbh press, lbh ketat dibagian paha. dan setelah dicuci bahannya semakin mengkerut dan jadinya semakin ngepress dan gk nyaman dipakai. ekspektasi cukup tinggi celana ini tp memang msh banyak yg perlu ditingkatkan."
B aja
"Dikasih bintang 4 karena ada sedikit defect di bagian resleting seperti besi karat/teroxidasi, dan ternyata warnanya ga light khaki/creme seperti di foto dengan warna nya lebih ke dark khaki"
"bahan nya bagus, warnaya sesuai"
Ga sesuai warnanya payah
"Paling suka model kaos polos kyk gni, bahan nyaman di badan gk bkin gerah. Tb 165 dan bb 54 beli ukuran M dan pas"
bahan nya tipis pengait tali nya penyok
