Ulasan
tidak sesuai
kancing nya keras
enak nyaman pakai
suka bagi leher nya ngepress
ukuranya tidak sesuai gais kalian mau beli ukuranya naik 1 ukuranya iya
sipp
tipe bahan panas jahitanya tidak rapi
cutting cucok bahan bagus ukuranya tepat seller cepat response informatif overall menyalaahh terang sari jiwa gelap sukses terus
hitam pucet kira hitam pekat
mantap
keren banget baju nyaa kain nya halus mantap
mantap
ukuranya pas bagus pokok
bagus
bahan bagus jahitanya rapih bagus
bagus
kirim kemeja colarless iya lah baik
kualitas baik harga murah
bahan nya benerbener biasa terlalu mahal parah buat produk nya oke ko
oke kirim lama pertama jadi tidak langsung review buka pesan warna apa model apa datang model apa masih tuju ganti rating di respon seller mau tukar warna
harga gin sayang banget kalau beli banyak dipackingnya ini padahal biasa beli lebih murah dipackingnya 1 per cuma kurang packingnya sih
barang tidak sesuai foto
bahan bagus kirim cepat
baru cuci luntur
kurang puas
bagus sesuai harga
kirim terlalu lama bayar tanggal 9 tanggal 11 baru kirim tanggal sekarang harus pakai pusat resolusi no rekomendasi
barang aku bagus capit ngegigit kokoh
1 co hari kamis tanggal 22 siang baru drop gerai sicepat tanggal 27 malam harap co hari kamis biar pakai hari senin cuma intrajakarta biar tidak lama kurir eh malah toko lama sangat kecewa sop nya bagaimana 2 material celana lumayan bagus cuma ujung leg opening lipat 7cm jadi kayak celana biasa tekuk 7cm lihat tidak rapi jadi liat tebal ujung ada tekuk dalam potong sesuai ukuranya chart kan lebih fair aduh
rad makasih min barang sampai cepat kasih sisir
pesan warna biru kirim warna coklat
oke banget beli dua kali
mohon perhati hasil jahit
kualitas bahan sablon bagus sayang terang ukuranya terang produk asli tidak sesuai pilih ukuranya s dasar ket produk ukuranya s lebar dada 47 cuma nyata 42 cuma jadi kecil mau urus tukar barang malas proses
kualitas barang
ukuranya pas
keren bagus sesuai ingin
oke datang sesuai pesan
ukuranya terlalu kecil inti normal ukuranya 05 atas biasa 16 l brand jadi 165 xl ukuranya l brand mungkin equal m ukuranya normal bahan sangat tipis tidak easy iron
barang dengan selamat ukuranya pas bahan nya bagus terimakasih seller
barang bagus kirim cepat sekali
barang lecek jadi tidak lgsg pakai
kirim tidak sesuai janji seller sangat lama kualitas barang tidak sesuai harga pesan ukuranya l ukuranya s
barang kirim salah item sedang proses kembali
ukuranya pas tinggi badan 160 170 cuma berat badan 80 kg
ukuranya pas tinggi badan 160 170 cuma berat badan 60 kg
emas cuma pakai plastik bag screamous kaya kalau belanja langsung sana moga depan packing lebih perhati buat jaga kulitas produk kirim pke ekspedisi pasti tumpuk tumpuk sama paket
barang sesuai deskripsi karabiner kuat webbing sangat kokoh overall very good produk
tjakep ukuranya pas
ukuranya pas lentur enak pakai kirim cepat
umm bahan enak kayak sedikit nembus gitu kalau pakai luar siang siang tinggi badan 161cm pas gin tidak perlu dukung dilipet
kancing paling bawah copot
