Kata,TF-IDF
05,6.354315779720522e-05
0800,3.681017133512191e-05
10,0.0006849665065253549
100,0.000590025655522047
100cm,0.000171987710093643
100k,0.00014397402231338224
100rb,0.0003579173851293367
100rban,5.6834792801409725e-05
101,7.887954059622141e-05
104cm,0.00010118330872947399
10k,8.118949692075617e-05
10ribuan,0.0002889102853560727
11,0.000216145263906238
110,7.97295623667052e-05
115cm,7.97295623667052e-05
116,7.887954059622141e-05
12,0.0005591719342941252
1200,9.571445523138515e-05
129rb,9.776616865070557e-05
12rb,9.990007395636117e-05
13,0.00024791642158710544
130k,0.00020966303233673896
14,4.111795633197823e-05
15,0.0003147290235249535
150,0.00027023311096633425
150k,9.229776093231826e-05
150rb,6.234355357172993e-05
1530,9.571445523138515e-05
15rban,0.00010614585714196042
16,6.354315779720522e-05
160,0.014065761150043555
160an,0.0001621948494386135
160rb,0.00011710013532443367
160rbu,8.717130971079283e-05
161,0.00012816570028435575
161cm,7.122970503940978e-05
163,0.00021938405236081868
165,0.0002575766719287737
168,0.00021473487068634204
168cm,8.500078899960146e-05
169cm,0.000320620423217224
16s,0.0002890922088764873
17,4.923173721356021e-05
170,0.012452660720131126
170anbahan,0.00010651755577324566
170cm,7.8751278690227e-05
170rb,6.776434517085985e-05
171,0.006179431023838313
171175,0.0001299522720223947
172,8.316169512165559e-05
172bb,9.23162394810112e-05
172cm,0.0001906753828181979
173,0.00011645451542031306
174,0.00047231372573756393
175,0.00012059611740492826
175cm,0.00025494077420410615
176,0.00033114123966261426
177,9.586350835297545e-05
177cm,5.322838650893817e-05
178,9.988935146244753e-05
179,0.00015386159385338068
17an,0.00011274253138406869
18,0.00012659448150774763
180,0.0072642983140944915
19,0.00017548515131762793
1900,3.681017133512191e-05
190an,7.758491263373113e-05
190rb,7.25465979934286e-05
190rban,7.671751501077935e-05
1cm,0.00014246693125913098
1x,3.681017133512191e-05
20,0.00021579107044768388
200,0.00015589723005921826
200an,7.591718967270285e-05
200rb,0.0001582075872106866
2023,5.9731396815902316e-05
20rb,6.684235444375007e-05
20ribu,5.211988725607582e-05
20s,0.00040401562505654605
21,0.000279054593978462
22,3.4560766925239184e-05
220,6.952428358939842e-05
23,0.00041279901125848995
24,0.00028866026431672225
24s,0.00034820718314659637
25,0.00010241272263589618
250k,0.0001397753548911593
26,0.0001295839102585226
260250,0.00010546947658956184
26rb,4.3188058265559716e-05
27,3.4560766925239184e-05
2729,0.00013132715939468914
28,0.0003555802430035542
280,7.972416148670378e-05
29,0.0006225380083259365
290000set,6.202017328088432e-05
2930,7.912886947965942e-05
2cm,9.153071812758443e-05
2pcs,0.00012949180632404
2xl,0.00033888416554552923
30,0.0007398463895091864
300rban,6.309339931356844e-05
30an,6.987980289200817e-05
30rban,0.00023481289368999325
30ribuan,0.0001542837579989453
30s,0.0005621531479691542
31,0.0010506594830861757
31nya,0.00010128826842221886
32,0.0016841583306736504
33,0.0011097340961706283
33nya,5.124127600631081e-05
34,0.0016702755401362794
3435,0.00028821660240648233
35,0.0004114046897302482
35rb,9.990007395636117e-05
36,0.0012835018083631334
3600,0.00019820715427084766
3638,9.124723915705531e-05
37,0.0005440558550407487
37nya,5.059187819056393e-05
38,0.000969059025939925
39,0.00015541589260146025
3cm,9.43025554757465e-05
3x,0.0004199356498219959
3xl,7.396778915976761e-05
40,0.00021752640005281044
40an,6.964797147311142e-05
40rb,4.418895394971626e-05
41,0.00024930492837610494
42,0.00032203227664530967
43,0.0004262355981991903
430rb,6.684235444375007e-05
44,0.000690384000103921
45,4.1493347773052154e-05
450rb,6.684235444375007e-05
451rb,6.684235444375007e-05
46,7.903945934696663e-05
46cm,0.00011652150777954224
47,6.334346879493002e-05
4pcs,0.0001141123290402817
4x,0.00014402600967477802
50,0.000792947738292931
5080,3.163199482960532e-05
50cotton,3.771426564476829e-05
50k,8.712343194010228e-05
50rb,0.00024227203634041166
50rban,5.8294657850166405e-05
52,0.0002368126392229819
525,8.124312005840452e-05
53cm,7.396778915976761e-05
54,0.00024547032061029403
54cm,0.0001111868111151841
55,0.00034326248520870573
55tinggi,0.00010651755577324566
56,6.616114293337838e-05
57pcs,3.288714848047633e-05
58,0.0001206676120226561
5859,0.0001206676120226561
59,7.903945934696663e-05
60,0.008164765690382698
610,0.0001518343793454057
64kg,0.0001299522720223947
65,0.00026215577460525654
65kg,0.0002465338824470133
66,0.0001325180828569679
67,0.00016578945655986991
67cm,4.7551106008541144e-05
69,0.0003331589665277897
69kg,8.672603120715778e-05
70,0.006111007545680744
7080,0.00016068526372417857
70an,0.0001067743533601148
70rban,0.00028691587093196777
71,0.003888962284550668
71kg,0.0001133754676203794
72,0.00032045219296905164
7200,0.0005247439495727315
72180,0.00010344712017168391
72kg,7.8751278690227e-05
73,9.530666212360921e-05
74,0.0001030516077157526
7400,0.00016176573479124225
74kg,5.322838650893817e-05
75,0.00022898915266114964
75kg,0.00017152241324326127
78,0.0003413247795960605
78cm,7.935195314769973e-05
78kg,0.0002990421245791704
79,0.00012300706123790148
7cm,6.912153385047837e-05
80,0.007559569484266845
80kg,0.00025494077420410615
80rb,0.00011673926826858861
80rban,6.822993272309804e-05
810,0.00019155492940058265
83178,8.855118439761011e-05
85,0.00016565673846112493
85kg,0.00013446909923420217
88000set,6.202017328088432e-05
89k,0.00015414260160554318
91,7.930668458270609e-05
910,9.500090532093639e-05
92,9.586350835297545e-05
94,0.00013215168463335815
96,7.230106444983356e-05
97,9.995640273734627e-05
99rb,5.7152500483903335e-05
aa,0.0003154402938014173
aaaaaa,0.0001224154656526586
aarrghhh,0.00012145377685814875
abal,0.00020810682956378613
abal2,0.00010457509777309982
abang,0.00031000560443146584
abangan,0.00015112491489542273
abangkuh,7.733796395808018e-05
abu,0.0010811331163611477
abu2,0.0005435250722543493
abuabu,0.0002540841025916601
abuabua,0.00012687858013103566
abuabuini,0.00012014110514067981
acara,0.0008405271870364667
acc,0.00012833438502562165
actually,0.00017436278977750328
ada,0.0037384089633907326
adalah,4.9904048575723923e-05
add,3.9185110113794444e-05
adem,0.009521706191116813
adempas,0.00013035802018587328
ademudah,0.00010821436278492285
adik,0.00015353120008324654
adjustment,0.00011802250234172475
admin,0.002048351224391988
adminnya,0.0005770913646720469
aduh,0.0005165183705758096
advise,9.154276419276258e-05
affordable,8.006942385865394e-05
after,4.684331293275939e-05
agak,0.0016120020652217423
agar,0.00010034815674443206
ah,0.00014441253560055792
ahli,0.00010399008949317914
aja,8.673689270733087e-05
ajabiasa,0.00013708164456099222
ajak,0.00021314396218182852
ajar,6.952428358939842e-05
ajeg,6.988767744557964e-05
ajib,0.0001557001732438578
ajjjjj,0.00017405526961296244
aju,0.00017340261516494602
akal,0.00013875810844176439
akan,0.00020727144843797192
akh,0.00014977755269262734
akhir,0.0013771717003209188
aksen,9.740837398979584e-05
aktif,6.668728555365785e-05
aktifitas,0.0005094860403889703
aktivitas,0.0007815947858632737
aku,0.0008286673025965775
akurat,0.00044613809469250016
al,8.815408014345043e-05
ala,0.0001628352852908022
alakadar,0.00010044790169929354
alakadarnya,0.00011881208878374433
alam,0.0002139499672726902
alamat,4.442020167024333e-05
alami,0.00020654719679761337
alas,0.00022531039286272428
alhamdullilah,0.0001429239971897381
alhasil,0.00014357685283079578
alias,0.00029887607626330964
all,0.0009350684650928008
allahumma,0.00036887537285241464
am,5.6136930819873e-05
amal,6.684235444375007e-05
aman,0.0026821053888403884
aman2,9.053502193049071e-05
amanah,0.0002612985242217735
amat,0.0001075608102978345
ambeyen,0.00017449489272022243
ambil,0.0008420273035558712
ambruadul,0.00015166080811789156
amburadul,0.0003733556429263945
amount,5.6136930819873e-05
ampas,0.00025178261606766377
ampe,5.059187819056393e-05
ampun,0.00016381160047673573
amsiong,5.4609938096039615e-05
an,0.0004313138431930201
anak,0.0011740952267063687
anak2,8.481905628255106e-05
anakanak,0.00011129922411997761
ancur2an,6.083561569354487e-05
anda,9.99037915739864e-05
andai,0.00012014110514067981
andal,0.0003200843550473401
aneh,0.0006886794806871582
anehh,5.211988725607582e-05
anget,0.00021026813725493203
anggap,0.00011331096089027232
angin,0.0002138331394961928
angka,0.00022226827800476406
angkat,9.067714298494326e-05
angkle,8.870117654253797e-05
anjay,0.00020235049289872253
anjayyyy,7.733796395808018e-05
ankle,0.00032629855051483645
anklesirwal,7.044367293302829e-05
another,6.652440764048749e-05
antar,0.0006210782593526529
anyway,4.7548174136115825e-05
apa,0.003039534187157762
apa2,0.00010868560413409597
apaa,0.00012106460100621068
